French,English
histoire,history
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
vieux,old
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
